3243.09	375327968	3.75327968	26.04	16.1	19.88
3197.89	273261760	2.7326176	27.98	18.48	19.01
3200.23	224557824	2.24557824	29.38	20.66	17.44
3114.8	346631168	3.46631168	23.32	21.19	4.25
3005.17	249194448	2.49194448	9.56	18.86	-18.61
3152.26	277524512	2.77524512	10.4	17.17	-13.54
3086.06	317602880	3.1760288	5.66	14.87	-18.41
3097.92	209175392	2.09175392	2.83	12.46	-19.26
3156.54	239897360	2.3989736	5.26	11.02	-11.52
3185.62	274786144	2.74786144	9.42	10.7	-2.56
3115.89	236322672	2.36322672	7.01	9.96	-5.9
3142.69	212887728	2.12887728	7.18	9.41	-4.45
3092.35	236263872	2.36263872	3.22	8.17	-9.9
3100.76	156727536	1.56727536	0.75	6.68	-11.88
3038.14	163222672	1.63222672	-6.2	4.11	-20.61
3052.78	146642448	1.46642448	-10.39	1.21	-23.2
3143.36	234276048	2.34276048	-6.34	-0.3	-12.08
3183.15	234851440	2.3485144	0.08	-0.22	0.61
3287.66	386294720	3.8629472	13.45	2.51	21.88
3293.23	297153120	2.9715312	24.22	6.85	34.73
3262.44	295077728	2.95077728	29.92	11.46	36.91
3338.07	316283840	3.1628384	40.08	17.19	45.78
3391.35	395460576	3.95460576	51.83	24.12	55.43
3386.7	378112192	3.78112192	60.08	31.31	57.54
3425.33	318973760	3.1897376	68.93	38.83	60.2
3320.68	458455424	4.58455424	66.74	44.41	44.65
3368.74	323739328	3.23739328	68.1	49.15	37.89
3412.43	347372864	3.47372864	71.87	53.69	36.34
3429.58	365560864	3.65560864	75.37	58.03	34.68
3434.34	328172768	3.28172768	77.63	61.95	31.37
3375.2	293523296	2.93523296	73.81	64.32	18.97
3387.32	235676032	2.35676032	70.93	65.64	10.58
3382.56	243595120	2.4359512	67.49	66.01	2.96
3325.08	230951136	2.30951136	59.45	64.7	-10.51
3316.7	192897424	1.92897424	51.79	62.12	-20.65
3459.64	339078720	3.3907872	56.61	61.02	-8.81
3522.82	553254976	5.53254976	64.78	61.77	6.02
3590.03	429167040	4.2916704	75.8	64.58	22.45
3646.88	503016672	5.03016672	88.11	69.28	37.66
3640.49	429746560	4.2974656	96.24	74.67	43.13
3650.25	360972640	3.6097264	102.29	80.2	44.19
3632.9	361717600	3.617176	104.48	85.05	38.85
3580.84	345870944	3.45870944	100.85	88.21	25.28
3606.96	276187072	2.76187072	98.95	90.36	17.17
3604.8	383575456	3.83575456	96.15	91.52	9.27
3568.47	297580736	2.97580736	89.97	91.21	-2.48
3617.06	247915584	2.47915584	87.98	90.56	-5.17
3630.5	310801984	3.10801984	86.48	89.75	-6.53
3610.31	315997472	3.15997472	82.72	88.34	-11.25
3616.11	248810528	2.48810528	79.29	86.53	-14.48
3647.93	273024864	2.73024864	78.24	84.87	-13.27
3635.55	306761568	3.06761568	75.53	83	-14.94
3436.3	354287520	3.5428752	56.66	77.73	-42.15
3445.4	304197888	3.04197888	41.95	70.58	-57.25
3456.31	252390752	2.52390752	30.82	62.63	-63.61
3536.91	301491488	3.01491488	28.18	55.74	-55.12
3584.82	281111264	2.81111264	29.61	50.51	-41.8
3524.99	251736416	2.51736416	25.62	45.53	-39.83
3536.93	208302576	2.08302576	23.16	41.06	-35.8
3470.07	224367312	2.24367312	15.63	35.97	-40.69
